x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
1.1213,wesp,139.6894,40.0000,80.0000,300.0000,20.0000,0.0000
1.1261,wesp,139.6622,40.0000,80.0000,300.0000,20.0000,0.0000
1.1310,wesp,139.6349,40.0000,80.0000,300.0000,20.0000,0.0000
1.1359,wesp,139.6077,40.0000,80.0000,300.0000,20.0000,0.0000
1.1407,wesp,139.5805,40.0000,80.0000,300.0000,20.0000,0.0000
1.1456,wesp,139.5533,40.0000,80.0000,300.0000,20.0000,0.0000
1.1505,plasma,139.5260,40.0000,80.0000,300.0000,20.0000,0.0000
1.1554,plasma,139.5260,39.5995,80.4005,298.9693,33.2862,214.0082
1.1603,plasma,139.5260,39.2024,80.7976,297.9421,46.5718,214.0086
1.1651,plasma,139.5260,38.8086,81.1914,296.9184,59.8568,214.0091
1.1700,plasma,139.5260,38.4181,81.5819,295.8982,73.1412,214.0095
1.1749,plasma,139.5260,38.0310,81.9690,294.8816,86.4250,214.0099
1.1798,plasma,139.5260,37.6471,82.3529,293.8684,99.7082,214.0104
1.1846,plasma,139.5260,37.2665,82.7335,292.8588,112.9908,214.0108
1.1895,plasma,139.5260,36.8892,83.1108,291.8526,126.2729,214.0112
1.1944,plasma,139.5260,36.5151,83.4849,290.8498,139.5544,214.0116
